11/12/2018,Minibus,SANTA FE 900
12/12/2018,Particular,9 DE JULIO 700
26/12/2018,Particular,CATAMARCA 737
26/12/2018,Particular,ESPAÑA 789
27/12/2018,Particular,AGUSTIN GONZALEZ 1000
31/12/2018,Remisses,SANTA FE 900
2/1/2019,Particular,salta 842
2/1/2019,Particular,h. irigoyen 1642
2/1/2019,Particular,san martin 1273
5/1/2019,Particular,CATAMARCA 641
7/1/2019,Particular,san martin 891
7/1/2019,Particular,9 de julio 1200
27/1/2019,Remisses,carlos pellegrini al 400
1/2/2019,Particular,SAN LORENZO 836
1/2/2019,Taxi,SAN JUAN 800
1/2/2019,Particular,SAN MARTIN 1111
1/2/2019,Particular,ESPAÑA 767
1/2/2019,Particular,9 DE JULIO 1000
1/2/2019,Particular,POMAR Y CENTENARIO
2/2/2019,Particular,ROCA Y SAN MARTIN
3/2/2019,Particular,PELLEGRINI 1335
4/2/2019,Particular,H. IRIGOYEN 1200
7/2/2019,Particular,CORDOBA 420
7/2/2019,Particular,SAN MARTIN 1000
7/2/2019,Transportes de Cargas,ALFONSIN 5000
7/2/2019,Transportes de Cargas,AV CENTENARIO AL 5250
8/2/2019,Particular,CATAMARCA 1091
8/2/2019,Particular,PLACIDO MARTINEZ 1000
8/2/2019,Particular,BOLIVAR 1798
9/2/2019,Particular,ESPAÑA 1100
10/2/2019,Particular,CATAMARCA 800
12/2/2019,Particular,SAN LORENZO 1322
13/2/2019,Particular,SAN LORENZO 1300
14/2/2019,Particular,VERA 1000
15/2/2019,Particular,9 DE JULIO 868
15/2/2019,Particular,VERA 1000
16/2/2019,Remisses,AV MAIPU 2500
16/2/2019,Particular,MENDOZA 785
16/2/2019,Particular,CORDOBA 800
16/2/2019,Particular,CATAMARCA 900
17/2/2019,Particular,RUTA 12 Y PERICHON
16/2/2019,Remisses,RUTA 12 Y PERICHON
21/2/2019,Particular,SALTA 800
22/2/2019,Particular,PELLEGRINI 1800
22/2/2019,Particular,PELLEGRINI 1883
23/2/2019,Remisses,RUTA 12 Y PERICHON
23/2/2019,Remisses,ACCESO PERICHON
23/2/2019,Remisses,RUTA 12 Y PERICHON
23/2/2019,Remisses,RUTA 12 Y PERICHON
23/2/2019,Remisses,RUTA 12 ACCESO AL PERICHON
24/2/2019,Particular,GDOR GONZALEZ 1600
25/2/2019,Particular,CATAMARCA 1400
25/2/2019,Particular,SAN MARTIN 1600
25/2/2019,Remisses,san juan al 861
